Seq #,Journal Title,ISSN,E-ISSN,WoS Edition,WoS Category,Active WoS CC
C6104J,Italian Journal of Animal Science,1594-4077,1828-051X,SCIE,VETERINARY SCIENCES,Yes
C6104J,Italian Journal of Animal Science,1594-4077,1828-051X,SCIE,AGRICULTURE> DAIRY & ANIMAL SCIENCE,Yes
48268J,ITALIAN JOURNAL OF BIOCHEMISTRY,0021-2938,,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,No
D6488J,Italian Journal of Engineering Geology and Environment,1825-6635,2035-5688,ESCI,GEOSCIENCES> MULTIDISCIPLINARY,Yes
D3305J,Italian Journal of Food Safety,2239-7132,2239-7132,ESCI,FOOD SCIENCE & TECHNOLOGY,Yes
11624J,ITALIAN JOURNAL OF FOOD SCIENCE,1120-1770,2239-5687,SCIE,FOOD SCIENCE & TECHNOLOGY,Yes
01406J,ITALIAN JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,1125-8055,,SCIE,GASTROENTEROLOGY & HEPATOLOGY,No
D0087J,Italian Journal of Geosciences,2038-1719,2038-1727,SCIE,GEOSCIENCES> MULTIDISCIPLINARY,Yes
D2928J,Italian Journal of Linguistics,1120-2726,1120-2726,ESCI,LINGUISTICS,Yes
D3586J,Italian Journal of Medicine,1877-9344,1877-9352,ESCI,MEDICINE> GENERAL & INTERNAL,Yes
11018J,ITALIAN JOURNAL OF MINERAL & ELECTROLYTE METABOLISM,1121-1709,,SCIE,ENDOCRINOLOGY & METABOLISM,No
11018J,ITALIAN JOURNAL OF MINERAL & ELECTROLYTE METABOLISM,1121-1709,,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,No
03101J,ITALIAN JOURNAL OF NEUROLOGICAL SCIENCES,0392-0461,,SCIE,NEUROSCIENCES,No
03101J,ITALIAN JOURNAL OF NEUROLOGICAL SCIENCES,0392-0461,,SCIE,CLINICAL NEUROLOGY,No
D0700J,Italian Journal of Pediatrics,1720-8424,1824-7288,SCIE,PEDIATRICS,Yes
D6333J,Italian Journal of Planning Practice,2239-267X,2239-267X,ESCI,ARCHITECTURE,Yes
D6391J,Italian Journal of Pure and Applied Mathematics,1126-8042,2239-0227,ESCI,MATHEMATICS,Yes
D0930J,Italian Journal of Remote Sensing-Rivista Italiana di Telerilevamento,1129-8596,,SCIE,REMOTE SENSING,No
C8218J,Italian Journal of Vascular and Endovascular Surgery,1824-4777,1827-1847,SCIE> ESCI,PERIPHERAL VASCULAR DISEASE,Yes
11791J,ITALIAN JOURNAL OF ZOOLOGY,1125-0003,,SCIE,ZOOLOGY,No
85750J,Italian Political Science Review-Rivista Italiana di Scienza Politica,0048-8402,2057-4908,ESCI> SSCI,POLITICAL SCIENCE,Yes
01071J,ITALIAN QUARTERLY,0021-2954,,AHCI,LITERATURE,No
C8632J,Italian Studies,0075-1634,1748-6181,AHCI,HUMANITIES> MULTIDISCIPLINARY,Yes
C8632J,Italian Studies,0075-1634,1748-6181,AHCI,LITERATURE> ROMANCE,Yes
D4090J,Italianist,0261-4340,1748-619X,ESCI,HUMANITIES> MULTIDISCIPLINARY,Yes
D1676J,Italianistica-Rivista di letteratura Italiana,0391-3368,1724-1677,AHCI,LITERATURE> ROMANCE,Yes
D4228J,Italiano LinguaDue,2037-3597,2037-3597,ESCI,LANGUAGE & LINGUISTICS,Yes
00608J,ITALICA,0021-3020,,AHCI,ARCHAEOLOGY,No
01365J,ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,0162-8178,,SCIE,ENGINEERING> CIVIL,Yes
01365J,ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,0162-8178,,SCIE,TRANSPORTATION SCIENCE & TECHNOLOGY,Yes
E0453J,ITE Transactions on Media Technology and Applications,2186-7364,2186-7364,ESCI,ENGINEERING> ELECTRICAL & ELECTRONIC,Yes
C7505J,ITEA-Informacion Tecnica Economica Agraria,1699-6887,,SCIE,AGRICULTURE> DAIRY & ANIMAL SCIENCE,Yes
C7505J,ITEA-Informacion Tecnica Economica Agraria,1699-6887,,SCIE,AGRONOMY,Yes
D9503J,Itineraria,1594-1019,1594-1019,ESCI,HUMANITIES> MULTIDISCIPLINARY,No
D0664J,Itinerario-International Journal on the History of European Expansion and Global Interaction,0165-1153,2041-2827,AHCI> SSCI,HISTORY,Yes
D5968J,ItinerArios-Revista de Literatura,0103-815X,,ESCI,LITERATURE,Yes
D6167J,IT-Information Technology,1611-2776,2196-7032,ESCI,COMPUTER SCIENCE> INFORMATION SYSTEMS,Yes
12484J,ITS JOURNAL,1024-8072,,SCIE,TRANSPORTATION SCIENCE & TECHNOLOGY,No
12484J,ITS JOURNAL,1024-8072,,SCIE,TRANSPORTATION,No
12484J,ITS JOURNAL,1024-8072,,SCIE,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,No
13186J,IUBMB LIFE,1521-6543,1521-6551,SCIE,CELL BIOLOGY,Yes
13186J,IUBMB LIFE,1521-6543,1521-6551,SCIE,BIOCHEMISTRY & MOLECULAR BIOLOGY,Yes
D3689J,IUCrJ,2052-2525,2052-2525,SCIE,MATERIALS SCIENCE> MULTIDISCIPLINARY,Yes
D3689J,IUCrJ,2052-2525,2052-2525,SCIE,CHEMISTRY> MULTIDISCIPLINARY,Yes
D3689J,IUCrJ,2052-2525,2052-2525,SCIE,CRYSTALLOGRAPHY,Yes
03850J,IUGOSLAVICA PHYSIOLOGICA ET PHARMACOLOGICA ACTA,0021-3225,,SCIE,PHARMACOLOGY & PHARMACY,No
03850J,IUGOSLAVICA PHYSIOLOGICA ET PHARMACOLOGICA ACTA,0021-3225,,SCIE,PHYSIOLOGY,No
D6276J,Ius Humani-Revista de Derecho,1390-440X,1390-7794,ESCI,LAW,Yes
11539J,IVHS JOURNAL,1065-5123,,SCIE,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,No
11539J,IVHS JOURNAL,1065-5123,,SCIE,TRANSPORTATION,No
D7198J,IZA Journal of European Labor Studies,2193-9012,2193-9012,ESCI,INDUSTRIAL RELATIONS & LABOR,No
E0558J,IZA Journal of Labor Policy,2193-9004,2193-9004,ESCI,INDUSTRIAL RELATIONS & LABOR,Yes
D7197J,IZA Journal of Migration,2193-9039,,ESCI,DEMOGRAPHY,No
D7883J,Izmir Dr Behcet Uz Cocuk Hastanesi Dergisi,2146-2372,1309-9566,ESCI,MEDICINE> GENERAL & INTERNAL,Yes
D4689J,Izquierdas,0718-5049,0718-5049,ESCI,POLITICAL SCIENCE,Yes
48400J,IZVESTIYA AKADEMII NAUK AZERBAIDZHANSKOI SSR SERIYA FIZIKO-TEKHNICHESKIKH I MATEMATICHESKIKH NAUK,,,SCIE,MATHEMATICS,No
10063J,IZVESTIYA AKADEMII NAUK FIZIKA ATMOSFERY I OKEANA,0002-3515,,SCIE,OCEANOGRAPHY,No
10063J,IZVESTIYA AKADEMII NAUK FIZIKA ATMOSFERY I OKEANA,0002-3515,,SCIE,METEOROLOGY & ATMOSPHERIC SCIENCES,No
10112J,IZVESTIYA AKADEMII NAUK SERIYA BIOLOGICHESKAYA,1026-3470,,SCIE,BIOLOGY,No
10111J,IZVESTIYA AKADEMII NAUK SERIYA FIZICHESKAYA,1026-3489,,SCIE,PHYSICS> MULTIDISCIPLINARY,No
10065J,IZVESTIYA AKADEMII NAUK SERIYA GEOLOGICHESKAYA,0321-1703,,SCIE,GEOSCIENCES> MULTIDISCIPLINARY,No
37488J,IZVESTIYA AKADEMII NAUK SSSR FIZIKA ATMOSFERY I OKEANA,0002-3515,,SCIE,OCEANOGRAPHY,No
37488J,IZVESTIYA AKADEMII NAUK SSSR FIZIKA ATMOSFERY I OKEANA,0002-3515,,SCIE,METEOROLOGY & ATMOSPHERIC SCIENCES,No
37620J,IZVESTIYA AKADEMII NAUK SSSR FIZIKA ZEMLI,0002-3337,,SCIE,GEOSCIENCES> MULTIDISCIPLINARY,No
48576J,IZVESTIYA AKADEMII NAUK SSSR SERIYA BIOLOGICHESKAYA,0002-3329,,SCIE,BIOLOGY,No
48444J,IZVESTIYA AKADEMII NAUK SSSR SERIYA FIZICHESKAYA,0367-6765,,SCIE,PHYSICS> MULTIDISCIPLINARY,No
03579J,IZVESTIYA AKADEMII NAUK SSSR SERIYA GEOLOGICHESKAYA,0321-1703,,SCIE,GEOSCIENCES> MULTIDISCIPLINARY,No
03580J,IZVESTIYA AKADEMII NAUK SSSR-SERIYA KHIMICHESKAYA,,,SCIE,CHEMISTRY> MULTIDISCIPLINARY,No
13399J,IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,0001-4338,1555-628X,SCIE,METEOROLOGY & ATMOSPHERIC SCIENCES,Yes
13399J,IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS,0001-4338,1555-628X,SCIE,OCEANOGRAPHY,Yes
11602J,IZVESTIYA MATHEMATICS,1064-5632,1468-4810,SCIE,MATHEMATICS,Yes
E0693J,Izvestiya Saratovskogo Universiteta Novaya Seriya-Matematika Mekhanika Informatika,1816-9791,2541-9005,ESCI,MATHEMATICS,Yes
48664J,IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII AVIATSIONAYA TEKHNIKA,0579-2975,,SCIE,ENGINEERING> AEROSPACE,No
48708J,IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII FIZIKA,0021-3411,,SCIE,PHYSICS> MULTIDISCIPLINARY,No
03213J,IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII KHIMIYA I KHIMICHESKAYA TEKHNOLOGIYA,0579-2991,,SCIE,CHEMISTRY> MULTIDISCIPLINARY,No
03578J,IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII MATEMATIKA,0021-3446,,SCIE,MATHEMATICS,No
03128J,IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII PISHCHEVAYA TEKHNOLOGIYA,,,SCIE,FOOD SCIENCE & TECHNOLOGY,No
48752J,IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII RADIOELEKTRONIKA,0021-3470,,SCIE,ENGINEERING> ELECTRICAL & ELECTRONIC,No
48752J,IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII RADIOELEKTRONIKA,0021-3470,,SCIE,TELECOMMUNICATIONS,No
03501J,IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII RADIOFIZIKA,0021-3462,,SCIE,ENGINEERING> ELECTRICAL & ELECTRONIC,No
03501J,IZVESTIYA VYSSHIKH UCHEBNYKH ZAVEDENII RADIOFIZIKA,0021-3462,,SCIE,PHYSICS> APPLIED,No
13372J,IZVESTIYA-PHYSICS OF THE SOLID EARTH,1069-3513,1555-6506,SCIE,GEOCHEMISTRY & GEOPHYSICS,Yes
D7301J,J19-The Journal of Nineteenth-Century Americanists,2166-742X,2166-7438,ESCI,LITERATURE> AMERICAN,Yes
D7234J,JA Clinical Reports,2363-9024,2363-9024,ESCI,ANESTHESIOLOGY,Yes
D3455J,JAAPA-Journal of the American Academy of Physician Assistants,1547-1896,0893-7400,SCIE,MEDICINE> GENERAL & INTERNAL,Yes
C9492J,JACC-Cardiovascular Imaging,1936-878X,1876-7591,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS,Yes
C9492J,JACC-Cardiovascular Imaging,1936-878X,1876-7591,SCIE,RADIOLOGY> NUCLEAR MEDICINE & MEDICAL IMAGING,Yes
C9909J,JACC-Cardiovascular Interventions,1936-8798,1876-7605,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS,Yes
D4893J,JACC-Heart Failure,2213-1779,2213-1787,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS,Yes
00998J,JACEP-JOURNAL OF THE AMERICAN COLLEGE OF EMERGENCY PHYSICIANS,0361-1124,,SCIE,EMERGENCY MEDICINE,No
62987J,JADERNA ENERGIE,,,SCIE,NUCLEAR SCIENCE & TECHNOLOGY,No
D9230J,Jaen Journal on Approximation,1889-3066,1989-7251,ESCI,MATHEMATICS,Yes
01691J,JAHRBUCH DER BERLINER MUSEEN,0075-2207,,AHCI,ART,Yes
04175S,JAHRBUCH DER DEUTSCHEN SCHILLERGESELLSCHAFT,0070-4318,,AHCI,LITERATURE> GERMAN> DUTCH> SCANDINAVIAN,No
04333J,JAHRBUCH FUR INTERNATIONALE GERMANISTIK,0449-5233,2235-1280,AHCI,LITERATURE> GERMAN> DUTCH> SCANDINAVIAN,Yes
63001J,JAHRBUCH FUR SOZIALWISSENSCHAFT,0075-2770,,SSCI,SOCIAL SCIENCES> INTERDISCIPLINARY,No
03431J,JAHRBUCH FUR VOLKSLIEDFORSCHUNG,0075-2789,,AHCI,FOLKLORE,No
01647J,JAHRBUCHER FUR GESCHICHTE OSTEUROPAS,0021-4019,,AHCI,HISTORY,Yes
62992J,JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,0021-4027,2366-049X,SCIE> SSCI,ECONOMICS,Yes
62992J,JAHRBUCHER FUR NATIONALOKONOMIE UND STATISTIK,0021-4027,2366-049X,SCIE> SSCI,SOCIAL SCIENCES> MATHEMATICAL METHODS,Yes
13918J,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,1525-4135,1077-9450,SCIE,INFECTIOUS DISEASES,Yes
13918J,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,1525-4135,1077-9450,SCIE,IMMUNOLOGY,Yes
D0397J,JALA,2211-0682,,SCIE,MEDICAL LABORATORY TECHNOLOGY,No
D0397J,JALA,2211-0682,,SCIE,BIOCHEMICAL RESEARCH METHODS,No
D0397J,JALA,2211-0682,,SCIE,CHEMISTRY> ANALYTICAL,No
D8913J,JAMA Cardiology,2380-6583,2380-6591,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS,Yes
D1623J,JAMA Dermatology,2168-6068,2168-6084,SCIE,DERMATOLOGY,Yes
D1630J,JAMA Facial Plastic Surgery,2168-6076,2168-6092,SCIE,SURGERY,Yes
D1622J,JAMA Internal Medicine,2168-6106,2168-6114,SCIE,MEDICINE> GENERAL & INTERNAL,Yes
D1647J,JAMA Neurology,2168-6149,2168-6157,SCIE,CLINICAL NEUROLOGY,Yes
D7262J,JAMA Oncology,2374-2437,2374-2445,SCIE,ONCOLOGY,Yes
D1648J,JAMA Ophthalmology,2168-6165,2168-6173,SCIE,OPHTHALMOLOGY,Yes
D1649J,JAMA Otolaryngology-Head & Neck Surgery,2168-6181,2168-619X,SCIE,SURGERY,Yes
D1649J,JAMA Otolaryngology-Head & Neck Surgery,2168-6181,2168-619X,SCIE,OTORHINOLARYNGOLOGY,Yes
D1650J,JAMA Pediatrics,2168-6203,2168-6211,SCIE,PEDIATRICS,Yes
D1651J,JAMA Psychiatry,2168-622X,2168-6238,SCIE> SSCI,PSYCHIATRY,Yes
D1652J,JAMA Surgery,2168-6254,2168-6262,SCIE,SURGERY,Yes
49500J,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,0098-7484,1538-3598,SCIE,MEDICINE> GENERAL & INTERNAL,Yes
D4823J,Jamba-Journal of Disaster Risk Studies,1996-1421,2072-845X,ESCI,SOCIAL SCIENCES> INTERDISCIPLINARY,Yes
00436J,JAMES JOYCE QUARTERLY,0021-4183,1938-6036,AHCI,LITERATURE> BRITISH ISLES,Yes
C1081J,JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,1055-3290,1552-6917,SCIE> SSCI,NURSING,Yes
D4818J,Janus-Estudios Sobre El Siglo de Oro,2254-7290,2254-7290,ESCI,LITERATURE> ROMANCE,Yes
63008J,JAPAN ANALYST,,,SCIE,CHEMISTRY> ANALYTICAL,No
10503J,JAPAN AND THE WORLD ECONOMY,0922-1425,1879-2006,SSCI,ECONOMICS,Yes
00358J,JAPAN ARCHITECT,0021-4302,,AHCI,ARCHITECTURE,No
D7788J,Japan Forum,0955-5803,1469-932X,ESCI,AREA STUDIES,Yes
13225J,JAPAN JOURNAL OF INDUSTRIAL AND APPLIED MATHEMATICS,0916-7005,1868-937X,SCIE,MATHEMATICS> APPLIED,Yes
C7440J,Japan Journal of Nursing Science,1742-7932,1742-7924,SCIE> SSCI,NURSING,Yes
63679J,JAPAN QUARTERLY,0021-4590,,AHCI>SSCI,ASIAN STUDIES,No
63679J,JAPAN QUARTERLY,0021-4590,,AHCI>SSCI,AREA STUDIES,No
D6278J,Japanese Accounting Review,2185-4785,2185-4793,ESCI,BUSINESS> FINANCE,Yes
12662J,JAPANESE CIRCULATION JOURNAL,,,SCIE,PERIPHERAL VASCULAR DISEASE,No
63052J,JAPANESE CIRCULATION JOURNAL-ENGLISH EDITION,0047-1828,,SCIE,HISTORY & PHILOSOPHY OF SCIENCE,No
63052J,JAPANESE CIRCULATION JOURNAL-ENGLISH EDITION,0047-1828,,SCIE,PERIPHERAL VASCULAR DISEASE,No
D5459J,Japanese Clinical Medicine,1179-6707,1179-6707,ESCI,MEDICINE> GENERAL & INTERNAL,Yes
D5918J,Japanese Dental Science Review,1882-7616,2213-6851,ESCI,DENTISTRY> ORAL SURGERY & MEDICINE,Yes
13091J,JAPANESE ECONOMIC REVIEW,1352-4739,1468-5876,SSCI,ECONOMICS,Yes
63074J,JAPANESE ECONOMIC STUDIES,0021-4841,,SSCI,ECONOMICS,No
12451J,JAPANESE ECONOMY,1097-203X,,SSCI,ECONOMICS,No
63096J,JAPANESE HEART JOURNAL,0021-4868,,SCIE,CARDIAC & CARDIOVASCULAR SYSTEMS,No
63118J,JAPANESE JOURNAL OF APPLIED ENTOMOLOGY AND ZOOLOGY,0021-4914,1347-6068,SCIE,ENTOMOLOGY,Yes
63140J,JAPANESE JOURNAL OF APPLIED PHYSICS,0021-4922,1347-4065,SCIE,PHYSICS> APPLIED,Yes
04109J,Japanese Journal of Applied Physics Part 1-Regular Papers Brief Communications & Review Papers,0021-4922,,SCIE,PHYSICS> APPLIED,No
04108J,JAPANESE JOURNAL OF APPLIED PHYSICS PART 2-LETTERS & EXPRESS LETTERS,0021-4922,,SCIE,PHYSICS> APPLIED,No
C1438J,JAPANESE JOURNAL OF ARTIFICIAL ORGANS,0300-0818,,ESCI,MEDICINE> RESEARCH & EXPERIMENTAL,Yes
63184J,JAPANESE JOURNAL OF BOTANY,,,SCIE,PLANT SCIENCES,No
03314J,JAPANESE JOURNAL OF BREEDING,0536-3683,,SCIE,AGRONOMY,No
03314J,JAPANESE JOURNAL OF BREEDING,0536-3683,,SCIE,PLANT SCIENCES,No
06271J,JAPANESE JOURNAL OF CANCER RESEARCH,0910-5050,,SCIE,ONCOLOGY,No
02065J,JAPANESE JOURNAL OF CLINICAL MEDICINE,0047-1852,,SCIE,MEDICINE> GENERAL & INTERNAL,No
63215J,JAPANESE JOURNAL OF CLINICAL ONCOLOGY,0368-2811,1465-3621,SCIE,ONCOLOGY,Yes
63218J,JAPANESE JOURNAL OF CROP SCIENCE,0011-1848,,SCIE,AGRONOMY,No
63222J,JAPANESE JOURNAL OF EDUCATIONAL PSYCHOLOGY,0021-5015,,SSCI,PSYCHOLOGY> EDUCATIONAL,No
63228J,JAPANESE JOURNAL OF EXPERIMENTAL MEDICINE,0021-5031,,SCIE,MEDICINE> RESEARCH & EXPERIMENTAL,No
63272J,JAPANESE JOURNAL OF GENETICS,0021-504X,,SCIE,GENETICS & HEREDITY,No
63316J,JAPANESE JOURNAL OF HUMAN GENETICS,0916-8478,,SCIE,GENETICS & HEREDITY,No
63345J,JAPANESE JOURNAL OF ICHTHYOLOGY,0021-5090,,SCIE,ZOOLOGY,No
63327J,JAPANESE JOURNAL OF INDUSTRIAL HEALTH,0047-1879,,SCIE,PUBLIC> ENVIRONMENTAL & OCCUPATIONAL HEALTH,No
13051J,JAPANESE JOURNAL OF INFECTIOUS DISEASES,1344-6304,1884-2836,SCIE,INFECTIOUS DISEASES,Yes
C7626J,Japanese Journal of Mathematics,0289-2316,1861-3624,SCIE,MATHEMATICS,Yes
63360J,JAPANESE JOURNAL OF MEDICAL SCIENCE & BIOLOGY,0021-5112,,SCIE,MEDICINE> GENERAL & INTERNAL,No
63338J,JAPANESE JOURNAL OF MEDICINE,0021-5120,,SCIE,MEDICINE> GENERAL & INTERNAL,No
63404J,JAPANESE JOURNAL OF MICROBIOLOGY,0021-5139,,SCIE,MICROBIOLOGY,No
02068J,JAPANESE JOURNAL OF NEPHROLOGY,0385-2385,,SCIE,UROLOGY & NEPHROLOGY,No
10141J,JAPANESE JOURNAL OF NEUROPSYCHOPHARMACOLOGY,1340-2544,,SCIE,NEUROSCIENCES,No
10141J,JAPANESE JOURNAL OF NEUROPSYCHOPHARMACOLOGY,1340-2544,,SCIE,PHARMACOLOGY & PHARMACY,No
63426J,JAPANESE JOURNAL OF OPHTHALMOLOGY,0021-5155,1613-2246,SCIE,OPHTHALMOLOGY,Yes
63448J,JAPANESE JOURNAL OF PHARMACOLOGY,0021-5198,,SCIE,PHARMACOLOGY & PHARMACY,No
10405J,JAPANESE JOURNAL OF PHYSICAL FITNESS AND SPORTS MEDICINE,0039-906X,,SCIE,SPORT SCIENCES,No
10405J,JAPANESE JOURNAL OF PHYSICAL FITNESS AND SPORTS MEDICINE,0039-906X,,SCIE,PHYSIOLOGY,No
63492J,JAPANESE JOURNAL OF PHYSIOLOGY,0021-521X,,SCIE,PHYSIOLOGY,No
C7506J,Japanese Journal of Political Science,1468-1099,1474-0060,SSCI,POLITICAL SCIENCE,Yes
07223J,JAPANESE JOURNAL OF PSYCHIATRY AND NEUROLOGY,0912-2036,,SCIE,PSYCHIATRY,No
07223J,JAPANESE JOURNAL OF PSYCHIATRY AND NEUROLOGY,0912-2036,,SCIE,NEUROSCIENCES,No
63514J,JAPANESE JOURNAL OF PSYCHOLOGY,0021-5236,,SSCI,PSYCHOLOGY> MULTIDISCIPLINARY,No
63514J,JAPANESE JOURNAL OF PSYCHOLOGY,0021-5236,,SSCI,PSYCHOLOGY,No
C9128J,Japanese Journal of Radiology,1867-1071,1867-108X,SCIE,RADIOLOGY> NUCLEAR MEDICINE & MEDICAL IMAGING,Yes
00018J,JAPANESE JOURNAL OF RELIGIOUS STUDIES,0304-1042,0304-1042,AHCI,RELIGION,Yes
02076J,JAPANESE JOURNAL OF THORACIC SURGERY,0021-5252,,SCIE,SURGERY,No
02076J,JAPANESE JOURNAL OF THORACIC SURGERY,0021-5252,,SCIE,RESPIRATORY SYSTEM,No
09816J,JAPANESE JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH,0013-273X,,SCIE,TOXICOLOGY,No
09816J,JAPANESE JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH,0013-273X,,SCIE,ENVIRONMENTAL SCIENCES,No
10806J,JAPANESE JOURNAL OF TRANSPLANTATION,0578-7947,,SCIE,SURGERY,No
10806J,JAPANESE JOURNAL OF TRANSPLANTATION,0578-7947,,SCIE,TRANSPLANTATION,No
63525J,JAPANESE JOURNAL OF TROPICAL AGRICULTURE,0021-5260,,SCIE,AGRICULTURE> MULTIDISCIPLINARY,No
63533J,JAPANESE JOURNAL OF UROLOGY,0021-5287,,SCIE,UROLOGY & NEPHROLOGY,No
63536J,JAPANESE JOURNAL OF VETERINARY RESEARCH,0047-1917,,SCIE,VETERINARY SCIENCES,Yes
63580J,JAPANESE JOURNAL OF VETERINARY SCIENCE,0021-5295,,SCIE,VETERINARY SCIENCES,No
63624J,JAPANESE JOURNAL OF ZOOLOGY,,,SCIE,ZOOLOGY,No
63668J,JAPANESE PSYCHOLOGICAL RESEARCH,0021-5368,1468-5884,SCIE> SSCI,PSYCHOLOGY> MULTIDISCIPLINARY,Yes
D3155J,Japanese Studies,1037-1397,1469-9338,ESCI,AREA STUDIES,Yes
07050J,JAPCA-THE INTERNATIONAL JOURNAL OF AIR POLLUTION CONTROL AND HAZARDOUS WASTE MANAGEMENT,0002-2470,,SCIE,ENGINEERING> ENVIRONMENTAL,No
07050J,JAPCA-THE INTERNATIONAL JOURNAL OF AIR POLLUTION CONTROL AND HAZARDOUS WASTE MANAGEMENT,0002-2470,,SCIE,ENVIRONMENTAL SCIENCES,No
07980J,JAPCA-THE JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION,0894-0630,,SCIE,ENGINEERING> ENVIRONMENTAL,No
13550J,JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,1525-3961,1438-7573,SCIE,OTORHINOLARYNGOLOGY,Yes
13550J,JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,1525-3961,1438-7573,SCIE,NEUROSCIENCES,Yes
63701J,JARQ-JAPAN AGRICULTURAL RESEARCH QUARTERLY,0021-3551,,SCIE,AGRICULTURE> MULTIDISCIPLINARY,Yes
C9454J,JASSA-The Finsia Journal of Applied Finance,0313-5934,0313-5934,ESCI> SSCI,BUSINESS> FINANCE,Yes
13360J,JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,1460-7425,1460-7425,SSCI,SOCIAL SCIENCES> INTERDISCIPLINARY,Yes
E0702J,JATI-Journal of Southeast Asian Studies,1823-4127,2600-8653,ESCI,SOCIAL SCIENCES> INTERDISCIPLINARY,Yes
14263J,JAVMA-JOURNAL OF THE AMERICAN VETERINARY MEDICAL ASSOCIATION,0003-1488,1943-569X,SCIE,VETERINARY SCIENCES,Yes
11676J,JAVNOST-THE PUBLIC,1318-3222,1854-8377,SSCI,COMMUNICATION,Yes
D5348J,Jazz Research Journal,1753-8637,1753-8645,ESCI,MUSIC,Yes
13986J,JBIS-JOURNAL OF THE BRITISH INTERPLANETARY SOCIETY,0007-084X,,SCIE,GEOSCIENCES> MULTIDISCIPLINARY,No
13986J,JBIS-JOURNAL OF THE BRITISH INTERPLANETARY SOCIETY,0007-084X,,SCIE,ENGINEERING> AEROSPACE,No
13986J,JBIS-JOURNAL OF THE BRITISH INTERPLANETARY SOCIETY,0007-084X,,SCIE,ASTRONOMY & ASTROPHYSICS,No
D5964J,JBJS Essential Surgical Techniques,2160-2204,2160-2204,ESCI,SURGERY,Yes
D5963J,JBJS Reviews,2329-9185,2329-9185,ESCI,SURGERY,Yes
C8391J,JBR-BTR,1780-2393,,SCIE,RADIOLOGY> NUCLEAR MEDICINE & MEDICAL IMAGING,No
D8416J,JCI Insight,2379-3708,2379-3708,ESCI,MEDICINE> RESEARCH & EXPERIMENTAL,Yes
C5792J,JCMS-Journal of Common Market Studies,0021-9886,1468-5965,SSCI,POLITICAL SCIENCE,Yes
C5792J,JCMS-Journal of Common Market Studies,0021-9886,1468-5965,SSCI,INTERNATIONAL RELATIONS,Yes
C5792J,JCMS-Journal of Common Market Studies,0021-9886,1468-5965,SSCI,ECONOMICS,Yes
D4133J,JCOM-Journal of Science Communication,1824-2049,1824-2049,ESCI,COMMUNICATION,Yes
C8224J,JCPSP-Journal of the College of Physicians and Surgeons Pakistan,1022-386X,1681-7168,SCIE,MEDICINE> GENERAL & INTERNAL,Yes
12404J,JCR-JOURNAL OF CLINICAL RHEUMATOLOGY,1076-1608,1536-7355,SCIE,RHEUMATOLOGY,Yes
14269J,JCT COATINGSTECH,1547-0083,,SCIE,CHEMISTRY> APPLIED,Yes
14269J,JCT COATINGSTECH,1547-0083,,SCIE,MATERIALS SCIENCE> COATINGS & FILMS,Yes
14268J,JCT RESEARCH,1547-0091,,SCIE,MATERIALS SCIENCE> COATINGS & FILMS,No
14268J,JCT RESEARCH,1547-0091,,SCIE,CHEMISTRY> APPLIED,No
E0003J,Jebat-Malaysian Journal of History Politics and Strategic Studies,0126-5644,2180-0251,ESCI,HISTORY,Yes
00336J,JEMF QUARTERLY,,,AHCI,MUSIC,No
